,theta_min,theta_max,t_min,t_max,velocity,Peak Stress (MPa),Strain Energy Density (MPa)
1933,1.2408,0.9935,2.72892,0.90002,0.310345,0.86463,0.20289
1934,1.3694,0.7882,1.41528,2.15697,0.310345,1.26485,0.25841
1935,1.3934,0.8165,1.30135,2.27596,0.310345,1.3355,0.26756
1936,1.2594,1.1924,2.60582,0.99847,0.310345,1.03272,0.20834
1937,1.3773,0.9332,1.46591,2.12378,0.310345,1.22755,0.22444
1938,1.168,1.1958,1.16581,2.44969,0.310345,1.40626,0.21667
1939,1.5228,1.3177,1.68145,1.79759,0.310345,0.92329,0.20012
1940,1.1636,1.2978,2.9628,0.66288,0.310345,1.01006,0.21155
1941,1.5121,1.238,1.99169,1.50984,0.310345,0.77147,0.18612
1942,1.4424,1.4333,2.31149,1.16701,0.310345,0.91503,0.19782
1943,1.1835,0.9147,1.56326,2.0524,0.310345,1.18463,0.25491
1944,1.1297,0.9677,1.30429,2.32442,0.310345,1.34602,0.23574
1945,1.4015,1.2413,0.98885,2.57677,0.310345,1.47868,0.23317
1946,0.9574,1.1729,2.3459,1.28017,0.310345,1.08707,0.23274
1947,1.5156,1.0114,1.68704,1.85591,0.310345,1.04063,0.22206
1948,1.5543,1.5623,1.6094,1.76193,0.310345,0.85503,0.17816
1949,1.0926,1.1102,1.63398,1.98988,0.310345,1.10979,0.24182
1950,0.8056,1.3833,1.86309,1.70622,0.310345,1.266,0.2409
1951,0.8411,1.2212,1.82082,1.77949,0.310345,0.92527,0.23677
1952,0.8712,1.3764,1.48902,2.09085,0.310345,1.11936,0.2207
1953,1.1156,0.8828,1.43797,2.17786,0.310345,1.2759,0.25267
1954,1.0671,1.2893,2.10784,1.49631,0.310345,0.92333,0.22641
1955,1.3746,1.5542,2.1503,1.3069,0.310345,1.44952,0.19837
1956,1.0837,1.1985,1.76823,1.84608,0.310345,0.99667,0.20888
1957,1.4036,1.4542,2.26553,1.22021,0.310345,1.35818,0.26332
1958,1.5047,0.985,1.84922,1.6956,0.310345,0.94769,0.22542
1959,1.1128,1.427,1.67677,1.88107,0.310345,0.96957,0.22876
1960,1.4563,1.3302,1.26936,2.2408,0.310345,1.2476,0.21937
1961,1.4739,0.9738,2.57412,0.98438,0.310345,1.0662,0.18794
1962,1.1451,1.1692,1.44573,2.16986,0.310345,1.21744,0.21126
1963,0.8454,0.8288,1.69757,1.86678,0.310345,1.09525,0.28489
1964,1.3441,0.869,1.91757,1.66851,0.310345,0.97511,0.23582
1965,1.1007,1.2002,1.6505,1.96252,0.310345,1.06687,0.21479
1966,0.986,1.51,1.85725,1.6892,0.310345,0.80069,0.20102
1967,0.9322,1.0857,1.93044,1.69021,0.310345,0.89973,0.23332
1968,1.4799,1.5383,1.89904,1.51677,0.310345,0.71416,0.19716
1969,0.9817,0.8474,1.87915,1.72042,0.310345,1.00454,0.25012
1970,1.0741,0.8779,1.19311,2.42674,0.310345,1.4107,0.2425
1971,1.111,1.118,1.76424,1.85709,0.310345,1.01551,0.21234
1972,1.4197,1.2885,2.32129,1.20677,0.310345,1.44954,0.18928
1973,1.1585,1.2827,2.38904,1.21305,0.310345,1.06283,0.2131
1974,0.8825,1.3991,1.91211,1.66501,0.310345,0.79281,0.20297
1975,1.4659,1.1648,2.36128,1.17536,0.310345,1.25006,0.19726
1976,1.1772,1.0323,1.51403,2.10816,0.310345,1.19432,0.22255
1977,1.3817,1.0554,1.12394,2.47445,0.310345,1.43655,0.2046
1978,1.4157,1.3908,0.94549,2.56768,0.310345,1.46885,0.22382
1979,0.9773,1.2504,2.1925,1.42255,0.310345,1.15043,0.22839
1980,1.0288,1.3219,1.71355,1.88133,0.310345,0.97602,0.22566
1981,1.1872,1.2316,1.7238,1.87283,0.310345,0.98903,0.21986
1982,0.7981,1.3973,2.51118,1.06973,0.310345,1.12345,0.26734
1983,1.2608,1.4437,2.59518,0.95487,0.310345,0.83308,0.19799
1984,1.1003,1.034,2.2527,1.37743,0.310345,0.71168,0.24406
1985,1.3187,1.2723,1.47903,2.08338,0.310345,1.13957,0.23998
1986,0.8262,1.2278,2.04588,1.55172,0.310345,1.06049,0.24738
1987,1.0448,1.3421,2.82594,0.79915,0.310345,0.98538,0.18826
1988,1.542,1.0723,1.95978,1.56113,0.310345,0.80485,0.19162
1989,1.1863,0.8362,2.65962,0.96435,0.310345,0.94844,0.23512
1990,0.9846,1.5131,1.23683,2.30223,0.310345,1.2804,0.2328
1991,1.0586,1.0491,1.02408,2.6185,0.310345,1.51564,0.22868
1992,1.378,1.3442,1.36846,2.1588,0.310345,1.18457,0.21859
1993,0.9808,1.2811,2.36879,1.24688,0.310345,0.76808,0.20561
1994,1.3681,0.936,1.34027,2.25529,0.310345,1.30656,0.22813
1995,0.9219,1.3722,2.19126,1.40081,0.310345,0.8945,0.24427
1996,0.8185,1.4489,2.91682,0.68188,0.310345,1.13134,0.24519
1997,1.0573,1.4451,2.09932,1.46866,0.310345,0.96644,0.20631
1998,1.3895,1.3987,2.01435,1.48892,0.310345,0.76271,0.19154
1999,1.4294,1.3577,1.94901,1.55208,0.310345,0.72269,0.18249
2000,1.3399,0.9615,2.22312,1.37075,0.310345,1.16615,0.24557
2001,1.4894,1.5076,1.04396,2.38969,0.310345,1.34842,0.2238
2002,1.3322,1.4887,2.12231,1.37263,0.310345,1.03693,0.21609
2003,1.0376,1.0717,1.0555,2.58556,0.310345,1.49836,0.23531
2004,1.1134,1.2057,2.78598,0.85047,0.310345,0.92189,0.19367
2005,1.0368,1.1666,1.652,1.96883,0.310345,1.07763,0.23825
2006,1.271,1.2984,1.80501,1.75998,0.310345,0.88269,0.18521
2007,1.019,1.008,2.25415,1.37598,0.310345,0.70136,0.23553
2008,1.5588,1.212,1.67133,1.82259,0.310345,0.95662,0.22301
2009,1.2548,0.942,1.89424,1.71355,0.310345,0.97564,0.24922
2010,0.8598,0.9197,1.48191,2.11356,0.310345,1.22686,0.26601
2011,1.0621,0.9327,0.81716,2.82705,0.310345,1.61708,0.23003
2012,1.0825,1.5026,1.72493,1.81221,0.310345,1.34638,0.23328
2013,0.839,1.3926,0.8386,2.75081,0.310345,1.57762,0.20462
2014,1.3824,1.495,1.91215,1.55857,0.310345,0.69613,0.1846
2015,1.2897,1.182,1.58013,2.00726,0.310345,1.09357,0.23799
2016,1.421,0.932,1.56121,2.01559,0.310345,1.15978,0.22242
2017,1.2652,1.1462,1.46181,2.13865,0.310345,1.19847,0.2195
2018,0.9913,1.537,1.36789,2.16119,0.310345,1.17074,0.19433
